Name,Real name,Aliases,Universe,Alignment,Gender,Affiliations,Relatives,Creators,First appearance,Year
Sophie,Sophie,,Valiant Entertainment,Good,Female,,Gilad (Father),Robert VendittiRaul AllenPatricia Martin,"Wrath of the Eternal Warrior  #1 (November, 2015)",2015
"Sophie, Duchess of Hohenberg","Sophie, Duchess of Hohenberg",,Real WorldValiant Entertainment,Neutral,Female,,Franz Ferdinand (husband),,"Unity (Volume 2) #20(July, 2015)",2015
Soprano,Unknown,,Valiant Entertainment,Bad,Female,H.A.R.D. CorpsProject Rising Spirit,,Joshua Dysart,"Imperium  #2(March, 2015)",2015
Spiro,Spiro,,Valiant Entertainment,Neutral,Male,Monomen,,Matt KindtClayton Crain,"X-O Manowar (Volume 4) #7(September, 2017)",2017
Psylocke,Unknown,,Valiant Entertainment,Good,Male,,,Bob Layton (original)John Ostrander (original)Sean Chen (original)Matt Kindt (reboot)Clayton Crain (reboot),"Original: Rai and the Future Force  #9 (May, 1993)Reboot: Rai (Volume 3) #1 (May, 2014)",2014
Squall,Unknown,,Valiant Entertainment,Bad,Male,,,Jody Houser,"Faith (Volume 2) #5 (November, 2016)",2016
Shadow Man,Standing Wolf,Shadow Man,Valiant Entertainment,Good,Male,,,Andy DiggleRenato Guedes,"Shadowman (Volume 5) #6(August, 2017)",2017
Stephen Seo,Stephen Seo,,Valiant Entertainment,Good,Male,Generation Zero,,Fred Van LenteFrancis Portela,"Generation Zero  #1(August, 2016)",2016
Stitch,Stitch,,Valiant Entertainment,Neutral,,The Fumes,,Matt KindtTrevor Hairsine,"Eternity  #2 (November, 2017)",2017
Stronghold,Edward T. Sedgewick,,Valiant Entertainment,Bad,Male,Harbinger FoundationEggbreakers,,Jim Shooter (original)David Lapham (original)Joshua Dysart (reboot)Khari Evans (reboot),"Original: Harbinger  #14 (February, 1993)Reboot: Harbinger (Volume 2) #2 (July, 2012)",2012
Superstar,Victor Salas,,Valiant Entertainment,Bad,Male,H.A.R.D. Corps,,Christos GageJoshua DysartEmanuela Lupacchino,"Bloodshot and H.A.R.D. Corps  #14 (September, 2013)",2013
Susan Alcott,Susan Alcott,,Ninjak Vs. The Valiant Universe,Neutral,Female,,Neville Alcott (ex-husband)Jillian Alcott (daughter),,"Comic-Adaption:Ninjak Vs. The Valiant Universe  #1 (January, 2018)Web-Series:Ninjak Vs. The Valiant Universe Episode 1 (April, 2018)",2018
Swae Lee,Khalif Malik Ibn Shaman Brown,Swae Lee,Real WorldValiant Entertainment,Good,Male,Rae Sremmurd,Slim Jxmmi (Brother),Eliot RahalRenato Guedes,"Shadowman/Rae Sremmurd #1(October, 2017)",2017
Sylvan,Unknown,,Valiant Entertainment,Bad,Male,,,Fred Van LenteTomas Giorello,"4001 A.D.: War Mother #1 (August, 2016)",2016
Sylvan,Sylvan 2,,Valiant Entertainment,Neutral,Male,,,Fred Van LenteStephen Segovia,"War Mother #4 (November, 2017)",2017
Syntilla,Syntilla,,Valiant Entertainment,Bad,Female,,,Andy DiggleAlex PaknadelDoug Braithwaite,"Incursion #1(February, 2019)",2019
T.A.D.D.,Unknown,,Valiant Entertainment,Good,,Tama,,Matt KindtCafu,"Rapture  #1 (May, 2017)",2017
"Tag, the Sky Goddess",Tag,Tagg,Valiant Entertainment,Neutral,Female,,Atom-13 (husband),Matt KindtTrevor Hairsine,"Eternity  #2(November, 2017)",2017
Talia Dauber,Talia Dauber,,Valiant Entertainment,,,United Nations,,Paul LevitzMJ Kim,"The Visitor (Volume 2) #1(December, 2019)",2019
Talone,Talone,,Valiant Entertainment,Neutral,Male,Sandria Darque,,Matt KindtStephen Segovia,"Ninjak (Volume 3) #24(February, 2017)",2017
Geomancer,Tama,,Valiant Entertainment,Good,Female,Geomancers,,Jeff LemireMatt KindtPaolo Rivera,"The Valiant  #4 (March, 2015)",2015
Tamara,Tamara,,Valiant Entertainment,Good,Female,,Kris Hathaway (Girlfriend),Rafer Roberts,"Harbinger Renegade #1(November, 2016)",2016
Taneisha,Taneisha,,Valiant Entertainment,Neutral,Female,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Tank,Dmitri (last name unknown),Tank,Valiant Entertainment,Good,Male,RoscosmosG.A.T.E.Psi-Lords,,Fred Van LenteRenato GuedesJonathan Arthur Ashley,"Psi-Lords (Volume 2) #1(June, 2019)",2019
Tank Man,Winston Grover,,Valiant Entertainment,Good,Male,"Bloodshot SquadG.A.T.E.""Supreme fighting force"" during WWII (formerly)",,Matt KindtChrisCross,"Bloodshot (Volume 3) #0 (August, 2013)",2013
Tatiana,Tatiana (Last name unknown),,Valiant Entertainment,Bad,Female,Nauka Traveling Circus,,Rafer RobertsMike Norton,"A&A: The Adventures of Archer & Armstrong #6 (August, 2016)",2016
Commander Tekus,Tekus,,Valiant Entertainment,Neutral,Male,Maniples (formerly),,Dan AbnettJuan Jose Ryp,"Rai (Volume 4) #6(August, 2020)",2020
The Telic,Tara (last name unknown),,Valiant Entertainment,Good,Female,Generation Zero,,Joshua DysartDuane Swierczynski,"Harbinger Wars  #1(April, 2013)",2013
Telic,Telic,,Valiant High,Good,Female,Valiant High,,Daniel KibblesmithDerek CharmOriginal:Joshua DysartDuane Swierczynski,"Valiant High #2(March, 2017)",2017
Terrence Magnum,Terrence Magnum,,Valiant Entertainment,Bad,Male,Magnum Security,,Christopher Priest (original)M.D. Bright (original)James Asmus (reboot)Ming Doyle (reboot),"Original: Quantum and Woody  #3 (August, 1997)Reboot: Quantum and Woody (Volume 2) #5 (November, 2013)",2013
Tess Solomon,Tess Solomon,,Valiant Entertainment,Neutral,Female,VineVine PlantingsVine Planting Liberation Army,Sasha Solomon (Daughter),Joshua Dysart,"Imperium  #9(October, 2015)",2015
The Alpha,Unknown,The AlphaThe StormbringerThe Beast,Valiant Entertainment,Bad,Male,,,Rafer RobertsJuan Jose Ryp,"Harbinger Renegade #6(August, 2017)",2017
